R_kpc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100
1,205.535,205.635,202.82,191.723,187.15,189.134,185.426,198.294,184.06,207.26,196.261,186.452,203.742,199.111,207.688,203.555,186.777,199.959,180.545,184.075,209.671,184.4,188.735,204.442,206.948,185.978,191.142,206.249,211.718,197.534,200.217,200.34,179.131,207.677,206.476,182.212,190.2,187.908,194.296,199.53,204.826,181.849,200.706,213.23,197.854,205.264,197.612,190.325,195.807,195.746,183.52,186.823,213.823,202.639,188.955,186.692,209.161,196.382,202.397,194.968,191.971,215.727,191.598,209.233,190.213,194.164,183.412,190.319,203.503,207.703,202.397,208.201,203.72,185.571,183.164,198.085,208.142,205.22,185.095,186.742,196.544,184.246,191.385,197.737,203.918,200.294,186.504,183.808,207.806,194.151,192.087,202.876,194.512,208.73,210.322,181.403,212.471,187.167,199.894,209.012
1.02261,205.275,205.313,202.824,192.316,188.08,189.994,186.642,198.068,184.95,206.679,196.117,186.981,204.245,199.052,208.374,205.685,187.694,199.746,181.004,184.716,210.833,185.17,189.277,204.438,207.176,187.453,192.711,206.483,211.221,197.523,200.585,201.083,179.518,207.892,206.81,182.882,189.898,188.846,197.331,199.946,205.11,182.27,201.56,213.531,198.606,205.608,197.635,190.445,195.851,195.974,184.198,187.17,213.907,203.138,188.841,187.463,209.676,196.165,203.188,195.916,191.964,216.011,192.879,209.273,190.891,195.323,184.031,190.737,204.383,208.321,203.442,207.926,203.833,186.243,183.806,198.071,208.325,205.745,185.791,188.289,196.849,185.221,192.025,197.89,204.584,200.808,186.835,184.557,207.999,193.874,193.403,202.556,195.145,209.339,210.567,182.026,212.739,187.887,200.36,209.284
1.04573,204.949,204.926,202.753,192.849,190.547,191.13,187.454,198.293,185.458,206.298,196.414,187.449,204.333,199.835,208.359,207.474,188.545,199.836,181.739,185.303,211.178,185.894,190.007,204.356,207.315,188.148,194.542,206.514,211.238,196.699,201.889,201.537,180.351,208.016,207.658,183.501,190.066,188.79,198.454,201.15,205.009,182.652,201.984,213.745,198.919,205.556,197.592,190.161,196.19,195.674,184.825,187.763,214.157,204.253,188.698,187.874,209.844,196.609,203.891,196.26,192.24,216.205,194.089,209.058,191.343,195.667,184.594,191.394,204.851,208.841,204.374,207.849,204.367,186.861,184.395,197.841,208.415,205.894,186.436,190.092,196.784,186.145,192.924,197.986,204.522,200.904,187.418,185.259,208.099,193.36,194.136,202.166,195.763,209.849,210.722,182.325,212.916,188.818,200.754,209.469
1.06937,204.556,204.475,203.251,193.643,193.563,191.481,188.398,198.39,185.903,205.941,196.267,187.522,204.694,200.273,208.567,208.822,189.324,199.65,182.454,186.391,211.724,186.568,190.548,204.504,207.609,188.79,195.192,206.41,211.175,196.399,202.076,202.622,180.878,207.798,207.7,184.065,189.971,189.3,198.781,201.309,204.823,183.225,202.331,213.864,199.151,205.112,197.828,190.865,196.451,195.947,185.396,188.477,214.07,204.591,188.838,188.428,210.157,196.636,205.157,196.928,192.47,216.302,194.889,209.021,191.79,195.932,185.099,191.451,205.212,209.256,204.873,207.404,205.079,187.422,184.926,197.832,208.405,205.949,187.025,190.904,197.119,186.93,193.438,198.023,205.008,201.281,188.526,185.91,208.1,193.427,194.173,201.706,195.747,209.987,210.78,182.841,212.998,189.427,201.07,209.301
1.09355,203.874,203.906,202.48,193.767,194.584,191.757,189.446,198.758,186.584,205.863,195.78,188.179,204.643,200.967,208.974,210.19,189.405,199.495,183.201,187.126,212.004,187.188,190.883,204.808,207.543,189.376,195.402,206.362,210.785,196.055,203.125,203.647,181.346,207.725,207.863,185.063,189.811,190.039,199.367,201.324,204.844,183.74,202.597,213.882,200.246,205.211,197.636,190.861,195.939,196.077,185.907,189.333,213.892,204.846,188.926,189.054,210.122,196.318,205.326,197.926,192.359,215.482,195.555,208.283,192.018,196.459,185.816,192.002,204.904,209.022,204.959,207.153,206.061,187.922,185.395,198.221,209.129,205.678,187.067,191.946,197.782,187.598,193.885,198.333,205.082,200.909,188.974,186.506,208.217,193.436,195.443,201.505,196.349,209.76,210.734,183.295,212.758,189.978,201.974,209.296
1.11827,203.888,203.72,202.376,194.35,195.03,191.951,190.071,199.046,187.181,205.79,195.874,188.748,203.857,200.92,208.984,210.908,189.728,199.729,183.66,188.063,211.926,187.75,191.458,204.212,207.367,190.362,195.524,205.947,210.216,196.314,203.102,204.312,181.749,207.541,208.09,185.492,190.235,190.406,200.841,201.657,204.762,184.193,203.103,213.57,200.652,204.295,196.695,190.683,195.704,195.733,186.117,189.433,213.371,205.333,188.957,189.622,210.205,196.498,205.713,198.291,192.496,215.225,196.556,208.096,191.928,196.88,186.47,192.5,204.774,208.959,205.831,206.806,206.169,188.356,185.798,198.608,209.044,205.485,187.313,192.899,197.873,188.121,193.962,198.233,205.352,201.138,189.637,187.042,207.994,193.368,196.371,200.898,196.518,209.702,210.579,183.683,212.632,190.465,202.105,209.184
1.14355,202.568,202.181,202.272,194.892,197.626,192.38,191.151,199.251,187.393,205.608,195.623,188.911,203.688,201.117,208.887,210.767,190.267,199.236,184.053,188.632,211.676,188.25,191.969,203.988,207.304,190.809,195.881,205.931,209.319,196.172,203.27,204.562,182.082,207.007,207.926,185.852,190.107,190.982,202.14,201.813,204.003,184.578,202.863,213.372,201.197,203.606,196.36,190.491,195.39,195.998,186.502,189.571,212.995,206.018,188.929,190.128,209.938,196.646,206.281,197.902,192.242,215.011,197.083,207.746,192.317,197.271,187.288,192.906,204.797,208.525,206.249,206.632,205.95,189.23,186.129,198.502,208.671,205.22,187.729,193.453,197.906,188.58,194.559,198.702,205.212,201.279,189.932,187.515,207.65,192.956,196.799,199.812,196.595,209.532,210.305,184,212.39,190.884,202.22,208.957
1.16941,201.985,201.239,202.056,195.033,198.687,192.384,191.489,199.365,187.52,205.038,195.881,188.985,203.733,201.53,208.28,210.838,190.709,198.996,184.374,189.109,211.198,188.683,192.412,203.228,206.981,191.409,196.44,205.534,208.917,195.652,203.305,205.364,182.34,206.355,207.644,185.906,189.933,191.185,202.334,201.546,203.147,184.89,203.467,212.952,201.291,203.133,196.578,190.534,195.315,195.598,186.813,190.014,212.752,205.358,188.565,190.566,209.546,196.701,206.411,198.059,192.341,214.477,197.506,207.165,192.63,198.005,187.478,193.249,204.425,208.241,206.244,206.34,206.081,189.503,186.629,197.66,208.167,204.832,188.073,194.341,198.155,188.969,194.492,198.749,205.085,201.324,190.421,187.92,207.379,192.939,196.798,198.828,196.576,209.243,209.906,184.239,212.023,191.465,202.071,208.608
1.19584,200.949,200.853,201.432,195.175,199.819,192.593,192.628,198.792,187.556,204.089,196.053,189.257,204.27,201.729,207.639,210.797,190.762,198.081,184.618,189.485,210.765,189.044,192.597,202.67,206.317,192.073,197.157,205.004,207.378,195.667,203.383,205.407,182.518,205.806,207.237,186.117,190.018,191.301,202.885,201.346,202.468,184.919,203.329,212.183,201.246,201.972,196.666,189.886,195.442,195.428,187.045,190.175,211.917,205.796,188.416,191.119,209.226,195.46,206.126,198.124,192.554,214.014,198.71,205.937,192.621,198.339,187.843,193.512,203.922,207.831,206.095,205.491,206.158,189.94,186.556,196.94,207.522,204.312,188.339,195.029,198.591,189.483,194.629,198.491,205.113,201.267,190.277,188.252,206.761,192.529,196.694,197.7,196.452,209.302,209.169,184.167,211.523,191.957,201.894,208.129
1.22288,200.733,200.667,200.699,195.027,200.873,192.378,193.291,198.727,187.763,202.798,195.875,189.125,204.082,201.137,207.149,210.379,190.99,197.986,184.778,189.752,210.409,189.327,192.895,201.816,205.613,192.339,197.063,204.533,206.712,195.294,203.429,204.946,182.817,204.896,206.697,186.677,189.677,190.839,203.154,200.908,200.851,185.076,203.363,211.61,200.774,201.056,196.318,189.747,195.732,195.183,187.192,190.244,210.97,205.48,188.443,191.399,208.552,195.351,205.984,197.81,192.442,213.225,198.868,204.786,192.774,198.794,187.843,193.243,203.52,207.524,205.548,204.872,205.542,190.273,186.869,196.61,206.728,203.653,188.32,195.615,198.649,189.709,194.671,197.661,204.359,200.812,190.539,188.503,205.996,192.477,196.48,196.812,196.513,208.736,208.3,184.243,211.071,192.35,201.889,207.316
1.25053,200.413,200.072,199.593,195.42,200.987,192.086,192.921,198.565,187.34,201.598,195.15,189.168,203.513,200.942,206.317,209.812,191.106,197.245,184.858,190.166,209.906,189.535,193.102,200.684,204.775,193.314,198.031,203.749,204.691,194.579,202.785,204.276,182.817,204.098,206.032,186.918,189.771,191.006,203.448,200.772,199.706,185.152,203.813,210.691,200.45,199.972,195.858,189.237,195.58,195.099,187.258,190.463,210.381,205.389,188.143,191.604,207.556,194.869,205.703,197.69,191.826,212.501,198.626,204.442,192.623,198.506,187.754,192.938,202.74,206.846,204.876,203.475,205.365,190.272,186.638,195.522,205.793,202.863,188.43,196.249,198.363,189.857,194.648,197.405,203.689,200.581,190.755,188.695,205.095,192.33,196.162,196.431,196.447,208.044,207.507,184.235,210.292,192.871,201.751,206.552
1.2788,200.509,199.397,199.83,195.858,201.427,192.671,194.161,199.02,187.746,201.311,195.471,189.616,203.919,200.846,205.833,209.964,191.529,197.688,185.577,190.614,210.089,190.17,193.603,200.902,205.054,194.108,198.345,203.842,205.07,194.944,202.956,204.924,183.294,204.376,205.923,188.077,190.334,191.247,204.751,201.109,199.914,185.503,204.149,210.704,201.171,200.016,196.21,189.61,195.849,195.372,187.795,190.961,210.637,205.653,188.616,192.244,207.675,195.288,205.959,198.165,191.971,212.683,199.307,204.754,192.77,198.985,188.688,193.54,203.288,207.033,204.589,203.181,205.418,190.786,187.351,196.001,205.824,202.742,188.813,197.473,198.897,190.644,195.38,197.296,203.884,200.879,191.229,189.458,205.14,192.768,196.6,196.383,197.335,208.014,207.435,184.714,210.434,193.211,202.066,206.701
1.30771,199.73,199.333,199.715,196.62,202.076,193.059,194.838,199.402,188.08,201.051,195.963,190.356,204.247,201.223,206.029,210.2,192.136,197.924,186.043,190.99,210.18,190.744,194.196,200.907,205.036,194.612,198.943,203.841,205.235,195.137,203.037,205.006,183.704,204.367,205.758,188.506,190.833,191.663,205.295,201.005,199.51,185.977,204.402,210.81,201.774,200.232,196.725,189.909,196.312,195.805,188.266,191.39,210.027,205.736,188.793,192.824,207.7,195.37,206.129,198.311,192.376,212.597,200.438,204.622,193.285,199.883,189.297,194.18,203.503,207.128,205.152,202.809,205.91,191.456,187.775,196.135,205.755,202.754,189.323,198.055,199.362,191.177,195.813,197.642,203.75,201.291,191.395,190.002,205.086,192.879,197.61,195.611,197.571,208.321,207.465,185.126,210.482,193.71,202.298,206.338
1.33728,199.705,198.955,199.52,197.281,202.852,193.35,195.684,199.45,188.336,200.718,196.383,190.553,204.42,201.777,205.89,210.154,192.402,198.092,186.439,191.531,210.173,191.252,194.724,200.818,204.916,195.258,200.013,203.738,205.069,195.436,202.789,204.991,184.374,204.257,205.885,189.076,191.126,192.005,205.56,201.22,199.29,186.381,204.568,210.819,201.772,200.359,196.942,190.126,196.673,195.927,188.479,191.744,210.011,206.17,188.908,193.173,207.624,195.641,206.206,198.642,192.527,212.592,200.927,204.491,193.73,200.39,189.582,194.548,203.401,206.913,205.149,202.604,205.802,191.824,188.125,196.178,205.58,202.665,189.764,198.806,199.752,191.642,196.17,198.167,203.529,201.539,191.73,190.644,204.929,193.173,197.515,195.525,197.454,208.112,207.395,185.87,210.43,193.931,202.443,205.882
1.36751,199.606,198.667,198.981,197.717,203.044,193.943,196.018,199.427,188.508,200.423,196.09,191.676,204.395,202.234,205.904,210.17,192.583,198.056,186.934,191.742,210.063,191.688,195.179,200.515,204.688,196.032,200.423,203.128,204.23,195.651,202.677,204.874,184.678,204.039,205.799,189.559,191.251,192.266,205.711,201.086,198.488,186.709,205.138,210.725,201.903,200.136,197.191,190.257,196.664,196.211,188.99,191.803,209.79,206.497,188.748,193.618,207.442,195.577,206.185,198.89,192.899,212.483,201.791,203.773,193.905,200.284,189.785,194.943,203.193,206.815,205.043,202.067,206.34,192.549,188.397,196.123,205.294,202.47,189.958,199.187,200.063,192.033,196.446,198.34,203.217,201.444,191.983,191.044,204.661,193.383,197.846,195.101,198.302,208.009,207.218,186.322,210.105,194.49,202.98,205.756
1.39843,199.428,198.217,198.901,198.047,202.901,193.898,196.671,199.809,188.588,199.965,196.164,191.717,203.971,202.585,205.816,209.903,193.154,198.425,187.165,192.329,209.843,192.047,195.557,200.361,204.519,196.498,200.256,202.815,203.771,195.303,202.678,205.06,184.84,203.706,205.39,189.947,191.358,192.44,205.741,200.616,198.297,186.954,205.098,210.338,201.912,199.572,196.815,190.294,196.552,195.965,189.052,191.997,209.474,206.71,188.932,193.985,207.316,195.712,205.799,199.081,193.189,211.93,202.089,203.356,194.198,200.537,190.353,195.256,202.87,206.608,204.829,201.684,206.514,192.527,188.582,195.964,204.888,202.162,190.247,200.213,200.062,192.691,196.409,198.667,202.808,201.764,192.15,191.363,204.275,193.503,198.102,194.577,197.994,207.798,206.929,186.481,209.839,194.758,203.003,205.107
1.43004,198.684,197.623,198.883,198.024,202.624,194.085,196.426,199.846,188.57,199.308,196.162,192.395,203.952,202.586,205.392,209.517,193.368,198.448,187.306,192.569,209.507,192.32,195.849,199.622,204.05,196.658,200.591,202.382,203.429,195.344,202.336,205.097,184.909,203.071,205.088,190.232,191.555,192.52,205.438,200.485,197.839,187.109,205.417,210.025,201.791,198.929,196.591,190.231,196.332,195.869,189.207,191.895,208.414,206.95,189.023,194.267,206.897,195.68,205.379,199.572,193.39,211.604,202.233,203.125,194.401,200.42,190.356,195.482,202.427,206.286,204.5,200.491,206.564,192.631,188.674,195.694,204.357,201.535,190.448,200.101,199.984,192.904,196.73,198.797,202.297,201.969,192.437,191.596,203.766,193.298,197.974,194.295,198.087,207.28,206.52,186.545,209.454,195.131,203.784,204.766
1.46237,198.576,197.353,198.534,198.127,202.03,193.969,196.064,200.006,188.445,198.957,196.262,192.435,203.826,202.609,204.42,209.008,193.461,198.239,187.511,192.593,209.049,192.501,196.049,199.253,203.451,196.719,200.778,201.635,203.162,195.159,201.871,204.793,185.053,202.495,204.665,190.205,191.494,192.497,205.014,199.571,197.48,187.165,205.588,209.591,200.898,198.202,196.25,190.289,195.754,195.89,189.263,191.902,207.789,206.545,189.012,194.455,206.351,195.35,205.159,199.642,193.325,211.156,202.251,202.777,194.508,200.164,190.253,195.612,201.857,205.843,204.247,200.154,206.268,192.634,188.665,195.305,203.693,200.988,190.553,200.114,200.028,193.02,196.723,198.272,202.116,201.818,192.399,191.733,203.127,193.224,197.974,193.885,197.813,206.837,205.987,186.506,208.945,195.205,203.836,204.104
1.49544,198.353,196.776,198.234,198.327,201.302,193.568,195.576,199.597,188.205,198.708,196.256,192.625,203.361,202.483,204.014,208.367,194.102,197.95,187.439,192.905,208.623,192.578,196.146,198.758,202.875,196.673,200.577,200.948,202.046,195.107,201.076,204.304,185.035,201.786,203.918,190.26,191.492,192.363,204.655,198.973,196.996,187.114,205.178,208.727,200.314,197.847,195.553,189.769,195.301,195.801,189.211,191.797,207.292,206.169,188.89,194.541,205.519,195.139,204.784,199.567,193.167,210.581,202.134,201.942,194.509,199.558,190.035,195.51,201.329,205.127,203.806,199.295,205.85,192.334,188.545,194.789,202.891,200.307,190.551,199.763,199.963,193.193,196.606,198.481,201.583,201.777,192.249,191.765,202.351,193.035,197.606,192.924,197.418,206.267,205.158,186.355,208.305,195.172,203.386,203.325
1.52925,198.454,197.143,198.437,198.84,201.792,193.983,196.391,199.948,188.472,198.861,196.36,192.807,203.47,202.587,204.237,208.456,195.034,198.289,187.811,193.629,208.745,193.069,196.653,198.904,202.878,197.479,200.649,200.976,202.175,195.446,200.971,204.425,185.558,201.802,203.856,190.982,191.923,192.526,204.782,199.258,196.687,187.499,205.402,208.831,200.202,197.856,195.711,190.01,195.229,195.624,189.603,192.166,207.529,206.418,189.238,195.043,205.576,195.455,204.962,199.917,193.615,210.248,202.384,202.089,194.792,200.034,190.324,195.782,201.343,205.206,203.953,199.201,205.865,192.709,189.253,194.903,202.85,200.337,190.981,200.001,200.385,193.801,196.987,198.777,201.715,202.289,192.594,192.222,202.327,193.359,197.83,192.762,197.849,206.391,205.219,186.673,208.391,195.602,203.787,203.431
1.56382,199.017,197.291,198.403,199.153,201.832,194.418,197.424,200.322,188.757,198.872,196.831,193.47,203.616,202.941,204.035,208.592,195.305,198.862,188.194,195.243,208.912,193.568,197.169,199.084,202.928,197.728,200.953,201.223,201.495,195.807,201.307,204.718,185.875,201.863,203.839,191.529,192.364,192.706,204.951,199.372,197.093,187.896,205.661,208.848,200.337,197.67,195.676,190.487,195.422,195.862,190.006,192.551,207.766,206.704,189.601,195.555,205.68,195.793,205.378,200.715,194.076,210.435,202.666,201.434,195.097,200.143,190.834,196.268,201.231,205.371,204.099,198.979,206.127,193.473,189.608,195.274,202.859,200.409,191.423,200.27,200.633,194.419,197.426,199.1,201.681,202.615,192.957,192.69,202.35,193.909,198.084,192.854,198.304,206.558,205.325,187.005,208.524,196.047,204.051,203.389
1.59917,198.775,197.248,198.933,199.383,201.779,194.758,197.477,200.824,188.958,199.362,197.16,193.584,203.9,203.212,203.837,208.639,195.579,199.222,188.65,195.441,208.992,193.988,197.608,198.751,202.885,197.907,201.342,201.2,201.32,196.086,201.353,204.751,186.11,201.832,203.738,191.792,192.728,193.001,205.032,199.592,196.967,188.212,206.037,208.438,200.382,197.857,195.782,191.303,195.527,196.206,190.178,192.855,207.398,206.905,189.883,195.992,205.693,196.006,205.504,201.21,194.458,210.535,203.289,201.684,195.487,200.162,191.257,196.676,201.2,205.084,204.507,198.901,206.504,193.963,189.882,195.328,202.772,200.389,191.786,200.453,200.998,194.796,197.907,199.255,201.767,202.638,193.239,193.08,202.28,194.167,198.253,193.078,198.447,206.807,205.34,187.323,208.567,196.414,204.353,203.45
1.63533,198.835,197.29,198.934,199.949,201.628,194.56,197.643,200.822,189.068,199.366,197.216,194.045,204.096,203.396,203.522,208.592,195.589,199.739,188.863,195.976,208.979,194.322,197.965,198.758,202.745,198.187,201.957,201.08,201.436,196.157,201.114,204.689,186.423,201.704,203.742,191.967,193.005,193.209,205.021,199.709,196.97,188.441,206.118,208.286,200.333,197.525,195.796,191.374,195.539,196.464,190.418,193.072,207.113,207.216,190.077,196.346,205.611,196.421,205.538,201.404,194.756,210.542,203.596,201.812,195.794,200.273,191.583,197.002,201.072,205.074,204.397,198.738,206.587,194.177,190.068,195.502,202.586,200.096,192.064,200.546,201.465,195.088,197.945,199.072,201.76,202.582,193.434,193.385,202.112,194.459,198.332,193.212,198.712,206.52,205.26,187.584,208.517,196.696,204.398,203.233
1.6723,198.928,197.099,199.04,199.779,201.374,194.485,198.028,200.935,189.272,199.067,197.289,193.958,203.794,203.283,203.534,208.447,196.221,199.827,189.102,196.823,208.869,194.566,198.231,198.252,202.503,198.376,201.927,200.693,200.818,196.339,200.97,204.837,186.466,201.445,203.459,192.385,193.19,193.321,205.084,199.68,196.873,188.575,206.139,207.867,200.374,196.906,195.923,191.345,195.626,196.291,190.562,193.195,207.138,207.036,190.175,196.609,205.43,196.49,205.285,201.505,195.109,210.053,204.001,201.237,196.009,200.092,192.37,196.973,200.973,205.14,204.322,198.315,206.225,194.297,190.157,195.356,202.295,199.881,192.249,200.334,201.65,195.442,198.088,199.136,201.846,202.645,193.349,193.599,201.841,195.206,198.524,193.287,198.661,206.345,205.081,187.644,208.367,197.223,204.346,202.956
1.71011,198.919,196.932,198.832,199.719,201.017,194.304,197.837,200.557,189.173,198.871,197.417,193.765,203.607,203.474,203.043,208.2,196.103,199.812,189.439,196.913,208.657,194.709,198.398,198.063,202.293,198.464,201.781,200.367,200.694,196.562,200.725,204.566,186.57,200.982,203.265,192.76,193.272,193.33,204.868,199.425,196.67,188.604,205.988,207.526,200.115,196.822,195.727,191.62,195.258,196.361,190.603,193.214,206.483,206.954,190.164,196.773,205.141,196.456,205.123,201.505,195.067,209.661,204.479,201.091,195.977,199.983,192.318,197.087,200.818,204.925,204.077,197.724,206.085,194.318,190.142,195.102,201.894,199.73,192.332,200.436,201.38,195.538,198.502,199.099,201.632,202.405,193.53,193.711,201.462,195.158,198.81,192.988,198.917,205.968,204.796,187.434,207.981,197.306,204.192,202.689
1.74877,198.813,196.719,198.526,199.363,200.697,193.815,197.473,200.481,189.346,198.577,197.448,193.885,203.096,203.367,202.471,207.86,196.09,199.701,189.338,196.944,208.354,194.753,198.465,197.575,201.846,198.455,201.531,199.944,200.305,196.455,200.553,204.201,186.595,200.396,202.975,192.992,193.253,193.239,204.558,199.079,196.367,188.53,205.779,207.227,199.941,196.593,195.636,191.375,194.964,196.332,190.541,193.132,205.943,206.779,189.898,196.838,204.627,195.938,204.823,201.5,195.214,209.391,204.264,200.715,195.855,199.767,192.508,197.129,200.378,204.446,203.737,197.245,205.886,194.58,189.986,194.95,201.396,199.306,192.313,200.031,201.034,195.685,198.624,199.36,201.322,202.275,193.604,193.722,200.986,195.02,198.78,192.633,199.055,205.666,204.417,187.128,207.639,197.291,203.986,202.011
1.78831,199.282,197.145,198.865,199.806,200.944,194.361,197.961,200.973,189.715,198.73,197.855,194.623,203.178,203.84,202.321,208.211,196.476,200.06,189.926,197.891,208.731,195.3,199.029,198.039,202.107,199.057,202.098,200.373,200.476,196.545,200.873,204.46,187.268,200.663,203.42,193.979,193.752,193.696,205.079,199.502,196.499,188.983,206.203,207.492,200.25,196.765,196.466,192.22,195.3,196.302,191.145,193.595,206.024,207.148,190.027,197.407,204.944,196.386,204.887,202.359,195.737,209.323,204.762,200.901,196.394,200.133,192.891,197.549,200.485,204.804,204.233,197.28,206.319,195.579,190.455,195.443,201.62,199.736,192.813,200.241,201.572,196.512,199.118,199.719,201.669,202.737,194.236,194.246,201.225,195.455,199.167,192.861,199.424,205.797,204.664,187.757,207.984,197.812,204.522,202.273
1.82874,199.592,197.353,198.78,200.212,201.156,194.662,198.592,201.057,190.232,198.85,198.369,195.516,203.545,203.894,202.605,208.529,197.226,200.788,190.324,199.291,208.937,195.81,199.555,197.985,202.333,199.64,202.652,200.605,200.959,196.974,201.332,204.816,187.606,200.894,203.848,194.55,194.212,194.283,205.402,199.866,196.466,189.397,206.594,207.573,200.639,196.839,196.872,192.643,195.396,196.543,191.57,194.02,205.692,207.464,190.583,197.938,205.227,196.611,205.242,203.096,196.223,209.372,205.366,201.064,196.896,200.809,193.557,198.067,200.859,205.017,204.536,197.239,206.597,196.181,190.688,195.893,201.808,199.966,193.276,200.743,202.409,197.148,199.576,200.217,201.799,203.163,194.65,194.732,201.428,196.045,199.45,192.873,200.145,206.039,204.569,188.207,208.295,198.296,204.701,202.481
1.87008,199.885,197.267,199.007,200.736,201.421,195.286,198.948,201.442,191.045,199.088,198.81,195.718,203.39,204.069,202.68,208.768,197.493,201.14,190.644,199.686,208.944,196.245,200.006,197.89,202.477,200.535,202.817,200.756,201.058,196.967,201.536,205.168,188.197,201.044,204.098,194.851,194.467,194.915,205.647,200.407,196.617,189.734,207.087,207.8,200.892,196.81,197.087,193.273,195.816,196.942,192.057,194.368,205.866,207.439,190.908,198.396,205.43,196.424,205.154,203.456,196.634,209.341,205.912,201.189,197.189,200.979,194.251,198.512,201.127,205.205,204.76,197.325,206.857,197.017,191.004,196.064,201.913,200.113,193.792,200.91,202.689,197.553,199.803,200.358,201.852,203.512,194.986,195.142,201.55,196.91,199.989,193.177,200.776,206.317,204.769,188.489,208.398,198.866,205.342,202.352
1.91236,200.162,197.417,198.957,200.982,201.463,195.432,199.391,201.745,191.015,198.66,199.16,196.03,203.352,204.339,202.731,208.925,198.069,201.424,191.027,201.204,209.113,196.599,200.376,197.851,202.536,200.876,202.897,200.821,200.875,197.418,201.483,205.294,189.237,201.108,204.265,195.443,194.644,195.215,205.808,200.51,196.951,190.115,207.139,207.491,201.17,196.979,197.605,193.427,195.949,197.116,192.34,194.955,206.139,207.152,191.148,198.773,205.549,196.479,204.615,203.923,196.953,209.389,206.307,200.894,197.536,201.064,194.257,198.875,201.2,205.532,204.9,197.318,206.905,197.505,191.08,196.162,201.929,200.175,194.094,200.929,202.684,198.197,200.081,200.612,202.185,203.794,195.416,195.471,201.584,197.359,200.177,193.22,201.298,206.468,204.885,188.852,208.548,199.353,205.715,202.319
1.9556,200.351,197.358,199.01,201.331,201.415,195.655,199.557,201.961,191.267,198.728,199.173,196.688,203.239,203.997,202.429,208.872,198.352,201.726,191.168,201.681,209.215,196.865,200.658,197.92,202.631,200.965,203.024,200.946,200.675,197.602,201.342,205.332,189.468,200.93,204.171,195.942,194.857,195.379,205.881,200.499,196.993,190.274,207.106,207.439,201.184,196.738,198.021,193.768,195.99,197.346,192.77,195.454,205.978,207.153,191.381,199.063,205.446,196.6,204.174,204.111,197.204,209.514,206.61,200.787,197.796,201.057,194.533,199.152,201.162,205.604,204.952,197.252,206.661,197.852,191.687,196.33,201.853,200.145,194.307,201.054,202.321,198.732,200.296,200.777,202.423,204.149,195.627,195.71,201.528,197.743,200.276,193.35,201.198,206.553,204.911,189.584,208.611,199.591,205.996,202.149
1.99981,200.466,197.514,198.99,201.036,201.294,195.617,199.813,201.749,191.439,199.104,199.373,196.767,203.236,203.944,202.263,208.875,198.365,201.516,191.68,202.512,209.249,197.056,200.865,197.819,202.527,201.136,203.074,200.846,200.416,197.625,201.471,205.3,189.717,200.679,204.007,196.175,194.994,194.816,205.885,200.416,196.961,190.483,207.269,206.973,201.125,196.615,198.353,194.607,196.051,197.5,192.861,195.546,206.111,207.176,191.898,199.278,205.408,196.487,203.944,204.414,197.369,209.002,206.664,200.642,197.981,200.979,194.729,199.353,201.052,205.606,205.082,197.293,206.622,198.304,191.904,196.244,201.703,200.042,194.316,200.821,202.291,199.368,200.612,200.777,202.236,204.16,195.925,195.874,201.399,198.036,200.303,193.231,201.65,206.568,204.867,189.931,208.476,199.596,206.116,201.279
2.04502,200.92,198.174,199.707,201.839,201.749,196.129,200.623,202.406,192.149,199.644,200.069,198.014,203.457,204.583,202.891,209.435,199.303,202.329,192.412,203.795,209.834,197.737,201.554,197.877,202.998,201.49,203.562,201.318,201.091,198.113,201.7,205.832,191.051,201.152,204.445,196.75,195.631,195.424,206.287,201.059,197.478,191.077,207.44,206.854,201.51,197.022,199.414,195.313,196.665,198.017,193.604,195.992,206.21,207.731,192.564,199.982,205.934,197.017,204.247,205.604,198.034,209.35,207.498,201.342,198.663,201.468,195.653,200.047,201.515,205.884,205.623,197.113,207.064,199.094,192.484,196.908,202.139,200.51,194.957,200.931,202.76,200.19,201.092,201.299,202.655,204.884,196.621,196.535,201.849,198.914,201.249,193.812,202.11,206.975,205.383,190.811,209.027,200.265,206.734,201.638
