R_kpc,Baryonic_target_p5,Baryonic_target_p16,Baryonic_target_p50,Baryonic_target_p84,Baryonic_target_p95,Baryonic target_min,Baryonic target_max
1,160.863625,170.723041,184.824864,214.142413,229.636009,160.863625,229.636009
1.0031058,160.953034,170.82061,184.870924,214.229831,229.613707,160.953034,229.613707
1.0062213,161.041653,170.917018,184.918385,214.314969,229.58898,161.041653,229.58898
1.0093465,161.129477,171.012252,184.973901,214.140643,229.561808,161.129477,229.561808
1.0124814,161.216496,171.106296,185.027962,213.942817,229.532166,161.216496,229.532166
1.015626,161.302702,171.19914,185.080555,213.743749,229.500032,161.302702,229.500032
1.0187804,161.388087,171.290412,185.131665,213.543425,229.46538,161.388087,229.46538
1.0219446,161.472644,171.328307,185.18128,213.34184,229.428189,161.472644,229.428189
1.0251186,161.556364,171.36528,185.229383,213.138988,229.388434,161.556364,229.388434
1.0283024,161.639238,171.401324,185.275959,212.934861,229.346091,161.639238,229.346091
1.0314962,161.721261,171.436433,185.320997,212.729442,229.301135,161.721261,229.301135
1.0346999,161.802423,171.470602,185.364478,212.52273,229.25354,161.802423,229.25354
1.0379135,161.882712,171.503819,185.406388,212.314718,229.203283,161.882712,229.203283
1.0411371,161.962125,171.536083,185.446713,212.105394,229.150337,161.962125,229.150337
1.0443707,162.040649,171.567382,185.485435,211.894751,229.094677,162.040649,229.094677
1.0476144,162.11828,171.597713,185.522541,211.712382,229.036276,162.11828,229.036276
1.0508681,162.195004,171.627064,185.558013,211.737217,228.975111,162.195004,228.975111
1.0541319,162.270814,171.655431,185.591838,211.759467,228.911153,162.270814,228.911153
1.0574059,162.345704,171.682805,185.623996,211.779104,228.844372,162.345704,228.844372
1.0606901,162.419662,171.709179,185.654475,211.796101,228.774745,162.419662,228.774745
1.0639844,162.492678,171.734543,185.683255,211.810426,228.702245,162.492678,228.702245
1.067289,162.564745,171.758891,185.710321,211.822054,228.626841,162.564745,228.626841
1.0706038,162.635851,171.796335,185.735657,211.830954,228.548508,162.635851,228.548508
1.0739289,162.70599,171.836798,185.759245,211.820289,228.467217,162.70599,228.467217
1.0772644,162.775151,171.876022,185.781068,211.797421,228.382936,162.775151,228.382936
1.0806102,162.843323,171.907478,185.801109,211.771781,228.29564,162.843323,228.29564
1.0839664,162.910497,171.926051,185.819351,211.743339,228.205297,162.910497,228.205297
1.0873331,162.976666,171.943559,185.835776,211.712073,228.111877,162.976666,228.111877
1.0907102,163.041816,171.959995,185.850366,211.677957,228.015352,163.041816,228.015352
1.0940978,163.105938,171.975347,185.863103,211.640965,227.915691,163.105938,227.915691
1.0974959,163.169021,171.989608,185.873969,211.60107,227.812861,163.169021,227.812861
1.1009045,163.231056,172.002769,185.882945,211.558248,227.706836,163.231056,227.706836
1.1043238,163.292034,172.014819,185.890015,211.512469,227.597577,163.292034,227.597577
1.1077536,163.35194,172.025748,185.895157,211.463711,227.48506,163.35194,227.48506
1.1111941,163.410768,172.035547,185.898354,211.411941,227.369246,163.410768,227.369246
1.1146453,163.468505,172.044205,185.899584,211.357135,227.250105,163.468505,227.250105
1.1181073,163.525142,172.051714,185.898833,211.299264,227.127601,163.525142,227.127601
1.1215799,163.580663,172.05806,185.896076,211.238301,227.001708,163.580663,227.001708
1.1250634,163.635061,172.063233,185.891297,211.174216,226.872383,163.635061,226.872383
1.1285577,163.688325,172.067224,185.884474,211.106981,226.739597,163.688325,226.739597
1.1320628,163.74044,172.070019,185.875588,211.036568,226.603315,163.74044,226.603315
1.1355788,163.791397,172.07161,185.864616,210.962946,226.463502,163.791397,226.463502
1.1391058,163.841186,172.071983,185.851541,210.886083,226.320116,163.841186,226.320116
1.1426436,163.889789,172.071126,185.83634,210.805954,226.173133,163.889789,226.173133
1.1461925,163.937201,172.069028,185.818991,210.722525,226.022506,163.937201,226.022506
1.1497524,163.983405,172.065676,185.799475,210.635766,225.868201,163.983405,225.868201
1.1533234,164.028392,172.059188,185.77777,210.545645,225.71018,164.028392,225.71018
1.1569054,164.072145,172.038193,185.748716,210.452133,225.54841,164.072145,225.54841
1.1604986,164.114656,172.040426,185.713081,210.355193,225.382844,164.114656,225.382844
1.1641029,164.155909,172.045939,185.675333,210.254799,225.213452,164.155909,225.213452
1.1677185,164.195894,172.047121,185.635446,210.150911,225.040184,164.195894,225.040184
1.1713452,164.234593,172.041973,185.5934,210.043505,224.863013,164.234593,224.863013
1.1749833,164.271998,172.035397,185.549169,209.932537,224.681884,164.271998,224.681884
1.1786326,164.308091,172.0478,185.502732,209.817982,224.496769,164.308091,224.496769
1.1822932,164.34286,172.056791,185.454067,209.699803,224.307624,164.34286,224.307624
1.1859653,164.376293,172.056173,185.403146,209.57796,224.114397,164.376293,224.114397
1.1896487,164.408372,172.06077,185.349948,209.452428,223.917058,164.408372,223.917058
1.1933436,164.439086,172.074014,185.294448,209.323161,223.715555,164.439086,223.715555
1.1970499,164.468418,172.085318,185.235168,209.190132,223.509851,164.468418,223.509851
1.2007678,164.496353,172.094661,185.171114,209.053297,223.299894,164.496353,223.299894
1.2044972,164.522879,172.102024,185.104705,208.912624,223.085645,164.522879,223.085645
1.2082381,164.547977,172.107383,185.035915,208.768078,222.867062,164.547977,222.867062
1.2119908,164.571635,172.110718,184.964714,208.61961,222.644083,164.571635,222.644083
1.215755,164.593835,172.112008,184.891085,208.467197,222.416681,164.593835,222.416681
